attempted,accepted,acceptance_ratio
30,22,0.7333333333333333
30,10,0.3333333333333333
30,15,0.5
30,9,0.3
30,6,0.2
30,9,0.3
30,7,0.23333333333333334
30,12,0.4
30,4,0.13333333333333333
30,2,0.06666666666666667
30,9,0.3
30,8,0.26666666666666666
30,3,0.1
30,5,0.16666666666666666
30,4,0.13333333333333333
30,4,0.13333333333333333
30,6,0.2
30,3,0.1
30,6,0.2
30,4,0.13333333333333333
30,1,0.03333333333333333
30,0,0.0
30,4,0.13333333333333333
30,3,0.1
30,2,0.06666666666666667
30,4,0.13333333333333333
30,2,0.06666666666666667
30,6,0.2
30,3,0.1
30,5,0.16666666666666666
30,3,0.1
30,2,0.06666666666666667
30,2,0.06666666666666667
30,1,0.03333333333333333
30,5,0.16666666666666666
30,8,0.26666666666666666
30,2,0.06666666666666667
30,3,0.1
30,4,0.13333333333333333
30,6,0.2
30,8,0.26666666666666666
30,3,0.1
30,2,0.06666666666666667
30,4,0.13333333333333333
30,5,0.16666666666666666
30,4,0.13333333333333333
30,5,0.16666666666666666
30,3,0.1
30,1,0.03333333333333333
30,3,0.1
30,7,0.23333333333333334
30,4,0.13333333333333333
30,4,0.13333333333333333
30,4,0.13333333333333333
30,4,0.13333333333333333
30,5,0.16666666666666666
30,1,0.03333333333333333
30,3,0.1
30,3,0.1
30,6,0.2
30,5,0.16666666666666666
30,2,0.06666666666666667
30,5,0.16666666666666666
30,2,0.06666666666666667
30,5,0.16666666666666666
30,8,0.26666666666666666
30,4,0.13333333333333333
30,2,0.06666666666666667
30,3,0.1
30,2,0.06666666666666667
30,4,0.13333333333333333
30,5,0.16666666666666666
30,4,0.13333333333333333
30,2,0.06666666666666667
30,3,0.1
30,2,0.06666666666666667
30,5,0.16666666666666666
30,3,0.1
30,5,0.16666666666666666
30,6,0.2
30,2,0.06666666666666667
30,2,0.06666666666666667
30,5,0.16666666666666666
30,2,0.06666666666666667
30,4,0.13333333333333333
30,2,0.06666666666666667
30,2,0.06666666666666667
30,0,0.0
30,3,0.1
30,2,0.06666666666666667
30,2,0.06666666666666667
30,1,0.03333333333333333
30,0,0.0
30,3,0.1
30,2,0.06666666666666667
30,0,0.0
30,2,0.06666666666666667
30,3,0.1
30,1,0.03333333333333333
30,3,0.1
30,3,0.1
30,1,0.03333333333333333
30,3,0.1
30,4,0.13333333333333333
30,1,0.03333333333333333
30,0,0.0
30,2,0.06666666666666667
30,2,0.06666666666666667
30,0,0.0
30,1,0.03333333333333333
30,3,0.1
30,2,0.06666666666666667
30,2,0.06666666666666667
30,3,0.1
30,3,0.1
30,2,0.06666666666666667
30,3,0.1
30,5,0.16666666666666666
30,1,0.03333333333333333
30,2,0.06666666666666667
30,1,0.03333333333333333
30,2,0.06666666666666667
30,0,0.0
30,4,0.13333333333333333
30,3,0.1
30,4,0.13333333333333333
30,0,0.0
30,3,0.1
30,0,0.0
30,1,0.03333333333333333
30,2,0.06666666666666667
30,1,0.03333333333333333
30,2,0.06666666666666667
30,0,0.0
30,2,0.06666666666666667
30,3,0.1
30,1,0.03333333333333333
30,3,0.1
30,4,0.13333333333333333
30,1,0.03333333333333333
30,0,0.0
30,1,0.03333333333333333
30,1,0.03333333333333333
30,2,0.06666666666666667
30,2,0.06666666666666667
30,2,0.06666666666666667
30,0,0.0
30,3,0.1
30,3,0.1
30,0,0.0
30,2,0.06666666666666667
30,0,0.0
30,3,0.1
30,5,0.16666666666666666
30,3,0.1
30,2,0.06666666666666667
30,1,0.03333333333333333
30,2,0.06666666666666667
30,2,0.06666666666666667
30,3,0.1
30,2,0.06666666666666667
30,0,0.0
30,2,0.06666666666666667
30,3,0.1
30,2,0.06666666666666667
30,3,0.1
30,1,0.03333333333333333
30,3,0.1
30,4,0.13333333333333333
30,4,0.13333333333333333
30,2,0.06666666666666667
30,1,0.03333333333333333
30,1,0.03333333333333333
30,4,0.13333333333333333
30,0,0.0
30,2,0.06666666666666667
30,1,0.03333333333333333
30,5,0.16666666666666666
30,3,0.1
30,3,0.1
30,2,0.06666666666666667
30,1,0.03333333333333333
30,0,0.0
30,4,0.13333333333333333
30,3,0.1
30,0,0.0
30,0,0.0
30,3,0.1
30,2,0.06666666666666667
30,2,0.06666666666666667
30,4,0.13333333333333333
30,4,0.13333333333333333
30,1,0.03333333333333333
30,1,0.03333333333333333
30,2,0.06666666666666667
30,2,0.06666666666666667
30,4,0.13333333333333333
30,3,0.1
30,1,0.03333333333333333
30,0,0.0
30,2,0.06666666666666667
30,1,0.03333333333333333
30,2,0.06666666666666667
30,1,0.03333333333333333
30,5,0.16666666666666666
30,6,0.2
30,2,0.06666666666666667
30,3,0.1
30,4,0.13333333333333333
30,3,0.1
30,1,0.03333333333333333
30,1,0.03333333333333333
30,3,0.1
30,1,0.03333333333333333
30,3,0.1
30,1,0.03333333333333333
30,0,0.0
30,4,0.13333333333333333
30,4,0.13333333333333333
30,3,0.1
30,1,0.03333333333333333
30,3,0.1
30,0,0.0
30,2,0.06666666666666667
30,1,0.03333333333333333
30,0,0.0
30,1,0.03333333333333333
30,2,0.06666666666666667
30,3,0.1
30,3,0.1
30,2,0.06666666666666667
30,2,0.06666666666666667
30,4,0.13333333333333333
30,1,0.03333333333333333
30,2,0.06666666666666667
30,3,0.1
30,3,0.1
30,1,0.03333333333333333
30,3,0.1
30,4,0.13333333333333333
30,4,0.13333333333333333
30,2,0.06666666666666667
30,3,0.1
30,5,0.16666666666666666
30,1,0.03333333333333333
30,3,0.1
30,4,0.13333333333333333
30,2,0.06666666666666667
30,2,0.06666666666666667
30,2,0.06666666666666667
30,3,0.1
30,3,0.1
30,4,0.13333333333333333
30,4,0.13333333333333333
30,2,0.06666666666666667
30,3,0.1
30,4,0.13333333333333333
30,2,0.06666666666666667
30,1,0.03333333333333333
30,5,0.16666666666666666
30,0,0.0
30,2,0.06666666666666667
30,3,0.1
30,2,0.06666666666666667
30,1,0.03333333333333333
30,1,0.03333333333333333
30,3,0.1
30,2,0.06666666666666667
30,2,0.06666666666666667
30,1,0.03333333333333333
30,2,0.06666666666666667
30,1,0.03333333333333333
30,3,0.1
30,1,0.03333333333333333
30,2,0.06666666666666667
30,1,0.03333333333333333
30,1,0.03333333333333333
30,1,0.03333333333333333
30,0,0.0
30,2,0.06666666666666667
30,2,0.06666666666666667
30,3,0.1
30,2,0.06666666666666667
30,1,0.03333333333333333
30,2,0.06666666666666667
30,1,0.03333333333333333
30,2,0.06666666666666667
30,1,0.03333333333333333
30,0,0.0
30,5,0.16666666666666666
30,4,0.13333333333333333
30,2,0.06666666666666667
30,2,0.06666666666666667
30,1,0.03333333333333333
30,2,0.06666666666666667
30,2,0.06666666666666667
30,4,0.13333333333333333
30,3,0.1
30,3,0.1
30,3,0.1
30,3,0.1
30,2,0.06666666666666667
30,2,0.06666666666666667
30,2,0.06666666666666667
30,3,0.1
30,3,0.1
30,1,0.03333333333333333
30,3,0.1
30,4,0.13333333333333333
30,1,0.03333333333333333
30,2,0.06666666666666667
30,3,0.1
30,0,0.0
30,2,0.06666666666666667
30,1,0.03333333333333333
30,1,0.03333333333333333
30,2,0.06666666666666667
30,4,0.13333333333333333
30,2,0.06666666666666667
30,2,0.06666666666666667
30,2,0.06666666666666667
30,2,0.06666666666666667
30,4,0.13333333333333333
30,3,0.1
30,3,0.1
30,2,0.06666666666666667
30,2,0.06666666666666667
30,2,0.06666666666666667
30,2,0.06666666666666667
30,1,0.03333333333333333
30,4,0.13333333333333333
30,6,0.2
30,2,0.06666666666666667
30,4,0.13333333333333333
30,9,0.3
30,0,0.0
30,3,0.1
30,3,0.1
30,4,0.13333333333333333
30,2,0.06666666666666667
30,3,0.1
30,3,0.1
30,1,0.03333333333333333
30,2,0.06666666666666667
30,1,0.03333333333333333
30,3,0.1
30,0,0.0
30,2,0.06666666666666667
30,0,0.0
30,1,0.03333333333333333
30,2,0.06666666666666667
30,0,0.0
30,1,0.03333333333333333
30,1,0.03333333333333333
30,2,0.06666666666666667
30,2,0.06666666666666667
30,0,0.0
30,1,0.03333333333333333
30,6,0.2
30,2,0.06666666666666667
30,3,0.1
30,1,0.03333333333333333
30,2,0.06666666666666667
30,4,0.13333333333333333
30,3,0.1
30,1,0.03333333333333333
30,5,0.16666666666666666
30,0,0.0
30,2,0.06666666666666667
30,3,0.1
30,3,0.1
30,1,0.03333333333333333
30,1,0.03333333333333333
30,3,0.1
30,1,0.03333333333333333
30,4,0.13333333333333333
30,4,0.13333333333333333
30,6,0.2
30,3,0.1
